key
note5-nc-emp
note5-c-emp
note7-under-protest
note7a-adv-tds
note7a-provision
note7-adv-tax
note7-provision
note13-opening
note13-profit
note13-dividends
note13-oci
note13-reserve
note18-process
note18-spares
note18-products
note18-amc
note18-it
note18-time-point
note18-time-over
note18-out-india
performance-within-1y
performance-more-1y
note18-india
note19-reimb
note19-bond
note19-insurance
note19-others
note20-openstock
note20-prod-access
note20-inventory-boy-wip
note20-inventory-boy-sit
note25-3
note25-4
note25-5
note25-8
note26-2
note26-5
note27-1
note27-2
note28-amount-current-service
note28-amount-interest
note28-benefit-return
note28-benefit-DBO
note28-benefit-DBO2
note28-balancesheet-present
note28-balancesheet-fair
note28-movement-interest
note28-movement-payments
note28-fairmovement-open-plan
note28-fairmovement-open-benefit
note28-plan-assets-Actuarial-1
note28-plan-assets-Actuarial-3
note28-plan-assets-Actuarial-4
note29-balance-rou
note29-balance-long-term
note29-balance-short
note29-pl-depreciation
note29-pl-finance
note29-pl-interest
note29-pl-open
note29-pl-add
note29-pl-payments
note29-pl-1
note29-pl-5
note29-pl-years
note29a-lease-noncurrent
note29a-lease-current
note29a-year5
note29a-total
note29a-unearned
note29a-after
note29a-within
note29a-after-lease
note29a-within-lease
note29a-profit-selling
note29a-profit-finance
note32-netprofit
note32-shares
note32-face
note34-pl-current-tax
note34-oci
note34-benefit
note34-reconciliation-open
note34-reconciliation-v3
note34-reconciliation-v4
note34-reconciliation-short
note34-reconciliation-expectedloss
note34-Deferred-liability
note34-Deferred-asset-provision
note34-Deferred-asset-difference
note34-Deferred-asset-debt
note34-Deferred-asset-servicetax
note34-Deferred-asset-loss
note34-Deferred-asset-Others
note35-capital-table
note35-capital-table1
note35-financialrisk-BOY
note35-financialrisk-creditloss
note35-financialrisk-creditloss-reverse
note35-revenue
note35-revenue-top
note35-geo-india
note35-geo-rest
cf-op-pro
cf-op-sub-prov
cf-op-sub-loss-1
cf-op-mov-inv
cf-op-mov-rec
cf-op-mov-short
cf-op-mov-nonfinancial
cf-op-mov-nonasset
cf-op-mov-long
cf-op-mov-financial
cf-op-mov-current
cf-op-mov-pay
cf-op-mov-currentlib
cf-op-mov-otherlib
cf-op-mov-long-prov
cf-op-mov-short-prov
cf-op-direct-tax
cf-inv-capex-ppe
cf-inv-capex-cce
cf-inv-capex-interest
cf-fin-lib
cf-fin-dividend
cf-foreign
cf-net-total-prev
cf-cce-prev
cf-op-profit
cf-op-cgo
cf-op-cgo-total
