Keys
note3-text-a
note3-text-b
note3-text-c
note4-text-a
note9-text-a
note12-text-a
note12-text-b
note14-text-a
note14-text-b
note18-text-a
note18-text-b
note18-text-c
note18-text-d
note18-text-e
note18-text-f
note18-text-g
note18-text-h
note27-text-a
note28-text-a
note28-text-b
note28-text-c
note28-text-d
note28-text-e
note28-text-f
note28-text-g
note28-text-h
note28-text-i
note28-text-j
note28-text-k
note28-text-l
note30-text-a
note35-text-a
note35-text-b
note35-text-c
note35-text-d
note35-text-e
note35-text-f
note35-text-g
note35-text-h
note35-text-i
note35-text-j
note35-text-k
note35-text-l
note35-text-m
note35-text-n
note35-text-o
note3-table1
note3-table2
note3-table3
note4-table1
note4-table2
note4-table3
note4-table4
note9-table1
note12-table1
note12-table2
note12-table3
note12-table4
note12-table5
note12-table6
note14-table1
note27-table1
note27-table2
note28-table1
note28-table2
note30-table1
note33-table1
note35-table1
note35-table2
note35-table3
note35-table4
note35-table5
note35-table6
